DEPTH TREND ANALYSIS
============================================================

Valid trials: 25

Momentum Depth Stats:
  Depth 1: avg=5.4044, min=5.4010, n=5
  Depth 2: avg=3.8305, min=3.8105, n=9
  Depth 3: avg=5.1961, min=4.3758, n=5
  Depth 4: avg=4.4762, min=4.0140, n=3
  Depth 5: avg=5.1792, min=5.1792, n=1
  Depth 6: avg=4.6437, min=3.8812, n=2

Controller Depth Stats:
  Depth 1: avg=4.6162, min=3.8262, n=2
  Depth 2: avg=4.7417, min=3.8618, n=5
  Depth 3: avg=4.3481, min=3.8105, n=9
  Depth 4: avg=4.7115, min=4.0140, n=4
  Depth 5: avg=5.0611, min=4.3758, n=3
  Depth 6: avg=4.6350, min=3.8812, n=2

Best: momentum=2, controller=3, loss=3.8105
