-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          model_forward         0.00%       0.000us         0.00%       0.000us       0.000us      40.123ms       182.27%      40.123ms       8.025ms           0 B           0 B           0 B           0 B             5            --  
                                    compute_group_stats         0.00%       0.000us         0.00%       0.000us       0.000us      12.933ms        58.75%      12.933ms       2.587ms           0 B           0 B           0 B           0 B             5            --  
                                         clip_grad_norm         0.00%       0.000us         0.00%       0.000us       0.000us       6.536ms        29.69%       6.536ms       1.307ms           0 B           0 B           0 B           0 B             5            --  
                                                forward         0.05%      96.742us        22.63%      40.839ms       8.168ms       0.000us         0.00%       6.339ms       1.268ms         800 B           0 B     716.70 MB           0 B             5            --  
                                          model_forward         7.21%      13.007ms        22.58%      40.742ms       8.148ms       0.000us         0.00%       6.339ms       1.268ms         800 B         800 B     716.70 MB    -439.63 MB             5            --  
                                     controller_forward         0.00%       0.000us         0.00%       0.000us       0.000us       5.558ms        25.25%       5.558ms       1.112ms           0 B           0 B           0 B           0 B             5            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us       5.543ms        25.18%       5.543ms       1.109ms           0 B           0 B           0 B           0 B             5            --  
                                               aten::mm         1.28%       2.311ms         2.03%       3.666ms      12.863us       5.163ms        23.46%       5.163ms      18.117us           0 B           0 B     361.39 MB     361.39 MB           285     94791.270  
                                         optimizer_step         0.17%     302.853us        19.93%      35.964ms       7.193ms       0.000us         0.00%       3.808ms     761.530us           0 B           0 B      10.00 KB           0 B             5            --  
                                              aten::bmm         1.94%       3.499ms         2.75%       4.970ms       8.283us       3.159ms        14.35%       3.159ms       5.264us           0 B           0 B     321.54 MB     321.54 MB           600      8068.792  
    autograd::engine::evaluate_function: AddmmBackward0         0.20%     366.351us         1.76%       3.174ms      48.832us       0.000us         0.00%       2.969ms      45.678us           0 B           0 B     -61.44 MB    -225.94 MB            65            --  
                                           aten::linear         0.25%     449.626us         2.71%       4.893ms      27.962us       0.000us         0.00%       2.620ms      14.972us           0 B           0 B     265.88 MB           0 B           175            --  
                                         AddmmBackward0         0.16%     293.537us         1.15%       2.084ms      32.055us       0.000us         0.00%       2.618ms      40.270us           0 B           0 B     164.38 MB           0 B            65            --  
                                    compute_group_stats         1.47%       2.661ms         7.40%      13.352ms       2.670ms       0.000us         0.00%       2.560ms     511.930us           0 B           0 B       7.50 KB    -148.82 MB             5            --  
                                              aten::sum         2.25%       4.062ms         3.62%       6.526ms       7.862us       2.481ms        11.27%       2.481ms       2.989us           0 B           0 B     752.50 KB     752.00 KB           830            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.364ms        10.74%       2.364ms      24.880us           0 B           0 B           0 B           0 B            95            --  
                                            aten::copy_         1.71%       3.094ms         4.28%       7.719ms       5.129us       2.237ms        10.16%       2.238ms       1.487us           0 B           0 B           0 B           0 B          1505            --  
      autograd::engine::evaluate_function: BmmBackward0         0.37%     659.877us         2.72%       4.900ms      24.498us       0.000us         0.00%       2.224ms      11.121us           0 B           0 B     -28.96 MB    -249.73 MB           200            --  
                                           BmmBackward0         0.41%     740.302us         2.35%       4.240ms      21.199us       0.000us         0.00%       2.224ms      11.121us           0 B           0 B     220.76 MB           0 B           200            --  
                                            aten::addmm         0.82%       1.486ms         1.18%       2.127ms      17.723us       1.799ms         8.17%       1.801ms      15.008us           0 B           0 B     137.50 MB     137.50 MB           120     26257.085  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.793ms         8.15%       1.793ms       2.544us           0 B           0 B           0 B           0 B           705            --  
       autograd::engine::evaluate_function: MmBackward0         0.09%     163.456us         1.17%       2.118ms      38.506us       0.000us         0.00%       1.768ms      32.141us           0 B           0 B     -71.62 MB    -155.25 MB            55            --  
                                            MmBackward0         0.15%     261.730us         1.08%       1.954ms      35.534us       0.000us         0.00%       1.768ms      32.141us           0 B           0 B      83.63 MB           0 B            55            --  
                                           aten::matmul         0.57%       1.033ms         3.43%       6.181ms      24.238us       0.000us         0.00%       1.734ms       6.801us           0 B           0 B     229.16 MB           0 B           255            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.646ms         7.48%       1.646ms       1.714us           0 B           0 B           0 B           0 B           960            --  
    autograd::engine::evaluate_function: SliceBackward0         0.66%       1.190ms         4.84%       8.739ms      20.091us       0.000us         0.00%       1.441ms       3.314us           0 B           0 B     -56.60 MB    -566.98 MB           435            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.279ms         5.81%       1.279ms      14.207us           0 B           0 B           0 B           0 B            90            --  
                                            aten::clone         0.45%     809.498us         2.64%       4.764ms       8.432us       0.000us         0.00%       1.041ms       1.843us           0 B           0 B     412.46 MB           0 B           565            --  
                                         SliceBackward0         0.26%     477.792us         3.58%       6.455ms      14.840us       0.000us         0.00%     999.741us       2.298us           0 B           0 B     463.34 MB           0 B           435            --  
                                   aten::slice_backward         0.42%     757.796us         3.31%       5.978ms      13.741us       0.000us         0.00%     999.741us       2.298us           0 B           0 B     463.34 MB           0 B           435            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     938.017us         4.26%     938.017us       9.380us           0 B           0 B           0 B           0 B           100            --  
                                    base_optimizer_step         0.07%     133.021us         4.00%       7.211ms       1.442ms       0.000us         0.00%     926.178us     185.236us           0 B           0 B           0 B           0 B             5            --  
                              Optimizer.step#AdamW.step         2.25%       4.062ms         3.92%       7.078ms       1.416ms       0.000us         0.00%     926.178us     185.236us           0 B         -40 B           0 B     -72.82 MB             5            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us     907.071us         4.12%     907.071us       6.479us           0 B           0 B           0 B           0 B           140            --  
                                              aten::pow         1.53%       2.757ms         2.72%       4.907ms       6.722us     773.162us         3.51%     816.489us       1.118us           0 B           0 B     245.10 MB     245.10 MB           730            --  
                                              aten::mul         1.30%       2.338ms         2.08%       3.760ms       5.875us     775.679us         3.52%     775.679us       1.212us         128 B         128 B     564.19 MB     564.19 MB           640       140.131  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     773.162us         3.51%     773.162us       1.129us           0 B           0 B           0 B           0 B           685            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     696.743us         3.17%     696.743us       5.806us           0 B           0 B           0 B           0 B           120            --  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us     683.137us         3.10%     683.137us      34.157us           0 B           0 B           0 B           0 B            20            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us     635.395us         2.89%     635.395us       5.295us           0 B           0 B           0 B           0 B           120            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%     168.943us         1.26%       2.282ms      38.031us       0.000us         0.00%     626.816us      10.447us           0 B           0 B     -55.21 MB    -124.45 MB            60            --  
                                   ConvolutionBackward0         0.08%     138.392us         1.17%       2.113ms      35.216us       0.000us         0.00%     626.816us      10.447us           0 B           0 B      69.24 MB           0 B            60            --  
                             aten::convolution_backward         0.34%     617.445us         1.09%       1.975ms      32.909us     366.432us         1.66%     626.816us      10.447us           0 B           0 B      69.24 MB     -61.88 MB            60            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     581.023us         2.64%     581.023us       4.648us           0 B           0 B           0 B           0 B           125            --  
                                             aten::add_         0.53%     950.857us         1.03%       1.858ms       2.581us     574.420us         2.61%     574.420us       0.798us           0 B           0 B           0 B           0 B           720            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     569.311us         2.59%     569.311us      11.386us           0 B           0 B           0 B           0 B            50            --  
                                       aten::contiguous         0.05%      86.813us         0.69%       1.242ms       8.562us       0.000us         0.00%     555.714us       3.833us           0 B           0 B     157.33 MB           0 B           145            --  
                                            aten::fill_         0.53%     954.758us         1.32%       2.380ms       3.689us     532.679us         2.42%     532.679us       0.826us           0 B           0 B           0 B           0 B           645            --  
      autograd::engine::evaluate_function: MulBackward0         0.28%     496.298us         1.29%       2.329ms      15.524us       0.000us         0.00%     498.978us       3.327us        -800 B        -800 B     -46.79 MB    -244.88 MB           150            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     493.010us         2.24%     493.010us       1.233us           0 B           0 B           0 B           0 B           400            --  
