-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          model_forward         0.00%       0.000us         0.00%       0.000us       0.000us      37.811ms       190.28%      37.811ms       7.562ms           0 B           0 B           0 B           0 B             5            --  
                                                forward         0.06%      90.684us        24.31%      38.669ms       7.734ms       0.000us         0.00%       6.362ms       1.272ms         800 B           0 B     716.70 MB           0 B             5            --  
                                          model_forward         7.87%      12.522ms        24.26%      38.578ms       7.716ms       0.000us         0.00%       6.362ms       1.272ms         800 B         800 B     716.70 MB    -439.63 MB             5            --  
                                     controller_forward         0.00%       0.000us         0.00%       0.000us       0.000us       5.537ms        27.86%       5.537ms       1.107ms           0 B           0 B           0 B           0 B             5            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us       5.446ms        27.41%       5.446ms       1.089ms           0 B           0 B           0 B           0 B             5            --  
                                    compute_group_stats         0.00%       0.000us         0.00%       0.000us       0.000us       5.312ms        26.73%       5.312ms       1.062ms           0 B           0 B           0 B           0 B             5            --  
                                         clip_grad_norm         0.00%       0.000us         0.00%       0.000us       0.000us       5.194ms        26.14%       5.194ms       1.039ms           0 B           0 B           0 B           0 B             5            --  
                                               aten::mm         1.32%       2.096ms         2.19%       3.475ms      12.194us       5.165ms        25.99%       5.165ms      18.121us           0 B           0 B     361.39 MB     361.39 MB           285     94791.270  
                                              aten::bmm         2.01%       3.190ms         2.86%       4.548ms       7.581us       3.174ms        15.97%       3.174ms       5.289us           0 B           0 B     321.54 MB     321.54 MB           600      8068.792  
    autograd::engine::evaluate_function: AddmmBackward0         0.17%     276.944us         1.84%       2.921ms      44.945us       0.000us         0.00%       2.976ms      45.780us           0 B           0 B     -61.44 MB    -225.94 MB            65            --  
                                           aten::linear         0.27%     427.021us         2.74%       4.354ms      24.881us       0.000us         0.00%       2.637ms      15.071us           0 B           0 B     265.88 MB           0 B           175            --  
                                         AddmmBackward0         0.16%     248.937us         1.26%       2.002ms      30.807us       0.000us         0.00%       2.618ms      40.281us           0 B           0 B     164.38 MB           0 B            65            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.369ms        11.92%       2.369ms      24.938us           0 B           0 B           0 B           0 B            95            --  
      autograd::engine::evaluate_function: BmmBackward0         0.35%     555.619us         2.74%       4.361ms      21.806us       0.000us         0.00%       2.240ms      11.199us           0 B           0 B     -28.96 MB    -249.73 MB           200            --  
                                           BmmBackward0         0.41%     656.955us         2.39%       3.806ms      19.028us       0.000us         0.00%       2.240ms      11.199us           0 B           0 B     220.76 MB           0 B           200            --  
                                            aten::copy_         1.81%       2.882ms         4.57%       7.273ms       4.832us       2.237ms        11.26%       2.238ms       1.487us           0 B           0 B           0 B           0 B          1505            --  
                                            aten::addmm         0.80%       1.276ms         1.15%       1.829ms      15.244us       1.818ms         9.15%       1.820ms      15.169us           0 B           0 B     137.50 MB     137.50 MB           120     26257.085  
       autograd::engine::evaluate_function: MmBackward0         0.09%     140.924us         1.24%       1.970ms      35.821us       0.000us         0.00%       1.770ms      32.189us           0 B           0 B     -71.62 MB    -155.25 MB            55            --  
                                            MmBackward0         0.17%     270.627us         1.15%       1.829ms      33.259us       0.000us         0.00%       1.770ms      32.189us           0 B           0 B      83.63 MB           0 B            55            --  
                                           aten::matmul         0.66%       1.051ms         3.71%       5.902ms      23.147us       0.000us         0.00%       1.732ms       6.791us           0 B           0 B     229.16 MB           0 B           255            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.646ms         8.28%       1.646ms       1.714us           0 B           0 B           0 B           0 B           960            --  
                                         optimizer_step         0.16%     258.732us        16.46%      26.186ms       5.237ms       0.000us         0.00%       1.617ms     323.302us           0 B           0 B     188.00 KB           0 B             5            --  
    autograd::engine::evaluate_function: SliceBackward0         0.64%       1.013ms         4.99%       7.929ms      18.227us       0.000us         0.00%       1.442ms       3.315us           0 B           0 B     -56.60 MB    -566.98 MB           435            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.277ms         6.43%       1.277ms      14.191us           0 B           0 B           0 B           0 B            90            --  
                                            aten::clone         0.47%     745.344us         2.91%       4.636ms       8.205us       0.000us         0.00%       1.041ms       1.842us           0 B           0 B     412.46 MB           0 B           565            --  
                                         SliceBackward0         0.28%     440.519us         3.75%       5.966ms      13.714us       0.000us         0.00%     999.813us       2.298us           0 B           0 B     463.34 MB           0 B           435            --  
                                   aten::slice_backward         0.42%     665.837us         3.47%       5.525ms      12.701us       0.000us         0.00%     999.813us       2.298us           0 B           0 B     463.34 MB           0 B           435            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     956.770us         4.81%     956.770us       9.568us           0 B           0 B           0 B           0 B           100            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us     918.304us         4.62%     918.304us       6.559us           0 B           0 B           0 B           0 B           140            --  
                                    base_optimizer_step         0.08%     124.765us         4.38%       6.971ms       1.394ms       0.000us         0.00%     912.798us     182.560us           0 B           0 B           0 B           0 B             5            --  
                              Optimizer.step#AdamW.step         2.49%       3.961ms         4.30%       6.846ms       1.369ms       0.000us         0.00%     912.798us     182.560us           0 B         -40 B           0 B     -72.82 MB             5            --  
                                              aten::mul         1.32%       2.095ms         2.16%       3.432ms       5.362us     782.051us         3.94%     782.051us       1.222us         232 B         232 B     563.16 MB     563.16 MB           640       140.131  
                                              aten::sum         0.57%     911.289us         0.96%       1.529ms       8.047us     757.716us         3.81%     757.716us       3.988us           0 B           0 B     432.50 KB     432.00 KB           190            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     697.538us         3.51%     697.538us       5.813us           0 B           0 B           0 B           0 B           120            --  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us     681.248us         3.43%     681.248us      34.062us           0 B           0 B           0 B           0 B            20            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us     640.640us         3.22%     640.640us       5.339us           0 B           0 B           0 B           0 B           120            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%     161.436us         1.37%       2.177ms      36.285us       0.000us         0.00%     626.879us      10.448us           0 B           0 B     -55.21 MB    -124.45 MB            60            --  
                                   ConvolutionBackward0         0.07%     115.313us         1.27%       2.016ms      33.595us       0.000us         0.00%     626.879us      10.448us           0 B           0 B      69.24 MB           0 B            60            --  
                             aten::convolution_backward         0.37%     594.067us         1.19%       1.900ms      31.673us     367.070us         1.85%     626.879us      10.448us           0 B           0 B      69.24 MB     -60.84 MB            60            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     582.873us         2.93%     582.873us       4.663us           0 B           0 B           0 B           0 B           125            --  
                                             aten::add_         0.51%     817.717us         1.05%       1.674ms       2.325us     575.240us         2.89%     575.240us       0.799us           0 B           0 B           0 B           0 B           720            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     571.967us         2.88%     571.967us      11.439us           0 B           0 B           0 B           0 B            50            --  
                                       aten::contiguous         0.05%      84.775us         0.75%       1.195ms       8.244us       0.000us         0.00%     555.009us       3.828us           0 B           0 B     157.33 MB           0 B           145            --  
                                            aten::fill_         0.58%     921.566us         1.47%       2.344ms       3.519us     548.135us         2.76%     548.135us       0.823us           0 B           0 B           0 B           0 B           666            --  
      autograd::engine::evaluate_function: MulBackward0         0.28%     438.126us         1.30%       2.061ms      13.742us       0.000us         0.00%     504.542us       3.364us        -800 B        -800 B     -46.79 MB    -244.88 MB           150            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     494.593us         2.49%     494.593us       1.236us           0 B           0 B           0 B           0 B           400            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     485.542us         2.44%     485.542us       0.829us           0 B           0 B           0 B           0 B           586            --  
                                            aten::zero_         0.33%     524.730us         1.55%       2.458ms       4.267us       0.000us         0.00%     477.958us       0.830us           0 B           0 B           0 B           0 B           576            --  
      autograd::engine::evaluate_function: DivBackward0         0.11%     180.625us         1.12%       1.787ms      39.704us       0.000us         0.00%     463.041us      10.290us           0 B           0 B     -43.63 MB    -136.64 MB            45            --  
                                           aten::conv1d         0.05%      73.912us         1.04%       1.661ms      27.680us       0.000us         0.00%     461.251us       7.688us           0 B           0 B      68.18 MB           0 B            60            --  
