-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          model_forward         0.00%       0.000us         0.00%       0.000us       0.000us      92.754ms       207.55%      92.754ms       9.275ms           0 B           0 B           0 B           0 B            10            --  
                                    compute_group_stats         0.00%       0.000us         0.00%       0.000us       0.000us      27.298ms        61.08%      27.298ms       2.730ms           0 B           0 B           0 B           0 B            10            --  
                                                forward         0.06%     240.366us        23.88%      94.681ms       9.468ms       0.000us         0.00%      12.801ms       1.280ms       1.56 KB           0 B       1.40 GB           0 B            10            --  
                                          model_forward         7.76%      30.765ms        23.82%      94.441ms       9.444ms       0.000us         0.00%      12.801ms       1.280ms       1.56 KB       1.56 KB       1.40 GB    -899.40 MB            10            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      12.703ms        28.42%      12.703ms       1.270ms           0 B           0 B           0 B           0 B            10            --  
                                               aten::mm         1.34%       5.313ms         2.05%       8.138ms      14.277us      10.395ms        23.26%      10.395ms      18.237us           0 B           0 B     729.02 MB     729.02 MB           570    189582.541  
                                         clip_grad_norm         0.00%       0.000us         0.00%       0.000us       0.000us       9.568ms        21.41%       9.568ms     956.751us           0 B           0 B           0 B           0 B            10            --  
                                         optimizer_step         0.22%     867.576us        17.39%      68.963ms       6.896ms       0.000us         0.00%       7.668ms     766.807us           0 B           0 B      20.00 KB           0 B            10            --  
                                     controller_forward         0.00%       0.000us         0.00%       0.000us       0.000us       6.757ms        15.12%       6.757ms     675.720us           0 B           0 B           0 B           0 B            10            --  
                                              aten::bmm         2.03%       8.037ms         2.80%      11.112ms       9.260us       6.459ms        14.45%       6.459ms       5.383us           0 B           0 B     659.30 MB     659.30 MB          1200     16137.585  
    autograd::engine::evaluate_function: AddmmBackward0         0.17%     679.928us         1.80%       7.132ms      54.860us       0.000us         0.00%       6.056ms      46.584us           0 B           0 B    -122.88 MB    -451.88 MB           130            --  
                                         AddmmBackward0         0.23%     897.223us         1.25%       4.970ms      38.234us       0.000us         0.00%       5.299ms      40.761us           0 B           0 B     328.75 MB           0 B           130            --  
                                           aten::linear         0.24%     950.989us         2.55%      10.092ms      28.835us       0.000us         0.00%       5.296ms      15.132us           0 B           0 B     543.02 MB           0 B           350            --  
                                    compute_group_stats         1.50%       5.961ms         7.12%      28.232ms       2.823ms       0.000us         0.00%       5.210ms     520.954us           0 B           0 B      15.00 KB    -297.64 MB            10            --  
                                              aten::sum         2.16%       8.547ms         3.48%      13.803ms       8.315us       5.074ms        11.35%       5.074ms       3.057us           0 B           0 B       1.47 MB       1.47 MB          1660            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       4.750ms        10.63%       4.750ms      25.001us           0 B           0 B           0 B           0 B           190            --  
      autograd::engine::evaluate_function: BmmBackward0         0.39%       1.561ms         2.89%      11.444ms      28.611us       0.000us         0.00%       4.576ms      11.441us           0 B           0 B     -34.49 MB    -492.23 MB           400            --  
                                           BmmBackward0         0.43%       1.712ms         2.49%       9.883ms      24.708us       0.000us         0.00%       4.576ms      11.441us           0 B           0 B     457.73 MB           0 B           400            --  
                                            aten::copy_         1.67%       6.627ms         4.16%      16.487ms       5.478us       4.485ms        10.04%       4.486ms       1.490us           0 B           0 B           0 B           0 B          3010            --  
                                            aten::addmm         0.80%       3.155ms         1.11%       4.407ms      18.361us       3.655ms         8.18%       3.657ms      15.237us           0 B           0 B     280.01 MB     280.01 MB           240     52514.171  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.596ms         8.05%       3.596ms       2.550us           0 B           0 B           0 B           0 B          1410            --  
       autograd::engine::evaluate_function: MmBackward0         0.10%     398.428us         1.23%       4.892ms      44.476us       0.000us         0.00%       3.540ms      32.185us           0 B           0 B    -154.49 MB    -321.76 MB           110            --  
                                            MmBackward0         0.17%     693.792us         1.13%       4.494ms      40.854us       0.000us         0.00%       3.540ms      32.185us           0 B           0 B     167.27 MB           0 B           110            --  
                                           aten::matmul         0.60%       2.371ms         3.31%      13.141ms      25.766us       0.000us         0.00%       3.483ms       6.829us           0 B           0 B     464.57 MB           0 B           510            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.293ms         7.37%       3.293ms       1.715us           0 B           0 B           0 B           0 B          1920            --  
    autograd::engine::evaluate_function: SliceBackward0         0.58%       2.318ms         4.80%      19.049ms      21.895us       0.000us         0.00%       2.901ms       3.334us           0 B           0 B    -120.61 MB      -1.12 GB           870            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       2.563ms         5.74%       2.563ms      14.242us           0 B           0 B           0 B           0 B           180            --  
                                            aten::clone         0.55%       2.178ms         2.93%      11.614ms      10.278us       0.000us         0.00%       2.079ms       1.840us           0 B           0 B     855.86 MB           0 B          1130            --  
                                         SliceBackward0         0.23%     918.751us         3.66%      14.515ms      16.683us       0.000us         0.00%       2.015ms       2.316us           0 B           0 B     939.18 MB           0 B           870            --  
                                   aten::slice_backward         0.45%       1.784ms         3.43%      13.596ms      15.627us       0.000us         0.00%       2.015ms       2.316us           0 B           0 B     939.18 MB           0 B           870            --  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.943ms         4.35%       1.943ms       9.715us           0 B           0 B           0 B           0 B           200            --  
                                    base_optimizer_step         0.10%     384.784us         4.29%      17.011ms       1.701ms       0.000us         0.00%       1.863ms     186.266us           0 B           0 B           0 B           0 B            10            --  
                              Optimizer.step#AdamW.step         2.30%       9.140ms         4.19%      16.627ms       1.663ms       0.000us         0.00%       1.863ms     186.266us           0 B         -80 B           0 B    -145.64 MB            10            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us       1.858ms         4.16%       1.858ms       6.637us           0 B           0 B           0 B           0 B           280            --  
                                              aten::pow         1.47%       5.815ms         2.57%      10.177ms       6.970us       1.621ms         3.63%       1.708ms       1.170us           0 B           0 B     508.96 MB     508.96 MB          1460            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.621ms         3.63%       1.621ms       1.183us           0 B           0 B           0 B           0 B          1370            --  
                                              aten::mul         1.41%       5.576ms         2.14%       8.499ms       6.640us       1.589ms         3.56%       1.589ms       1.242us         392 B         392 B       1.13 GB       1.13 GB          1280       280.261  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       1.396ms         3.12%       1.396ms       5.815us           0 B           0 B           0 B           0 B           240            --  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.361ms         3.05%       1.361ms      34.025us           0 B           0 B           0 B           0 B            40            --  
void magma_sgemmEx_kernel<float, float, float, false...         0.00%       0.000us         0.00%       0.000us       0.000us       1.336ms         2.99%       1.336ms       5.566us           0 B           0 B           0 B           0 B           240            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%     387.212us         1.27%       5.042ms      42.020us       0.000us         0.00%       1.251ms      10.421us           0 B           0 B    -110.43 MB    -248.91 MB           120            --  
                                   ConvolutionBackward0         0.08%     328.790us         1.17%       4.655ms      38.793us       0.000us         0.00%       1.251ms      10.421us           0 B           0 B     138.48 MB           0 B           120            --  
                             aten::convolution_backward         0.34%       1.365ms         1.09%       4.326ms      36.053us     735.651us         1.65%       1.251ms      10.421us           0 B           0 B     138.48 MB    -123.75 MB           120            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.199ms         2.68%       1.199ms       4.795us           0 B           0 B           0 B           0 B           250            --  
                                             aten::add_         0.52%       2.047ms         1.00%       3.950ms       2.743us       1.162ms         2.60%       1.162ms       0.807us           0 B           0 B           0 B           0 B          1440            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.143ms         2.56%       1.143ms      11.428us           0 B           0 B           0 B           0 B           100            --  
                                       aten::contiguous         0.06%     220.612us         0.71%       2.825ms       9.740us       0.000us         0.00%       1.098ms       3.786us           0 B           0 B     333.40 MB           0 B           290            --  
                                            aten::fill_         0.68%       2.686ms         1.47%       5.827ms       4.517us       1.074ms         2.40%       1.074ms       0.832us           0 B           0 B           0 B           0 B          1290            --  
      autograd::engine::evaluate_function: MulBackward0         0.27%       1.058ms         1.26%       4.977ms      16.591us       0.000us         0.00%       1.062ms       3.542us      -1.56 KB      -1.56 KB    -100.62 MB    -513.20 MB           300            --  
